"Name","Description","Latitude","Longitude"
CIERRE DE VIAS,#: 1196<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vías en la intersección de las vías 5 de Junio y Rodrigo de Chávez<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.238895<br>longitud: -78.5234073,-0.238895,-78.5234073
CIERRE DE VIAS,#: 1201<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Bolivar y Garcia Moreno<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22196600836581232<br>longitud: -78.514351518926,-0.221966008365812,-78.514351518926
CIERRE DE VIAS,#: 1202<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Bolivar y Venezuela<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22258231930190714<br>longitud: -78.51356952567129,-0.222582319301907,-78.5135695256713
CIERRE DE VIAS,#: 1203<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Guayaquil y Espejo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22117986180863514<br>longitud: -78.51134347904397,-0.221179861808635,-78.511343479044
CIERRE DE VIAS,#: 1204<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Guayaquil y Chile<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2205129672894373<br>longitud: -78.51079401462576,-0.220512967289437,-78.5107940146258
CIERRE DE VIAS Y MANIFESTACIONES,#: 1206<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y Patricio Romero<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.35511488176455913<br>longitud: -78.5492597790434,-0.355114881764559,-78.5492597790434
CIERRE DE VIAS Y MANIFESTACIONES,#: 1207<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S50<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3206787109466292<br>longitud: -78.54961225206227,-0.320678710946629,-78.5496122520623
CIERRE DE VIAS Y MANIFESTACIONES,#: 1208<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S60<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.34490686919839625<br>longitud: -78.54872235132923,-0.344906869198396,-78.5487223513292
CIERRE DE VIAS Y MANIFESTACIONES,#: 1209<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S55A<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.33281575315138273<br>longitud: -78.55043948671644,-0.332815753151383,-78.5504394867164
CIERRE DE VIAS Y MANIFESTACIONES,#: 1210<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado e Islas Malvinas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31738480330602176<br>longitud: -78.54906848764404,-0.317384803306022,-78.549068487644
CIERRE DE VIAS Y MANIFESTACIONES,#: 1213<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Simón Bolivar y Mango Inga (Redondel de Los Pájaros)<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.0234351<br>longitud: -78.4381551,-0.0234351,-78.4381551
CIERRE DE VIAS Y MANIFESTACIONES,#: 1214<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Redondel Maresa<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.0186627<br>longitud: -78.4526502,-0.0186627,-78.4526502
CIERRE DE VIAS Y MANIFESTACIONES,#: 1216<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Humberrto Duque y Rio San Pedro<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2680024956615945<br>longitud: -78.4491808884033,-0.268002495661595,-78.4491808884033
CIERRE DE VIAS Y MANIFESTACIONES,#: 1217<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO:  Panamericana Norte y Guarderas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.10445462587775341<br>longitud: -78.42256856555366,-0.104454625877753,-78.4225685655537
CIERRE DE VIAS Y MANIFESTACIONES,#: 1219<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Intervalles Sector Cununyacu<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.23006110231622834<br>longitud: -78.42955989961355,-0.230061102316228,-78.4295598996136
CIERRE DE VIAS Y MANIFESTACIONES,#: 1227<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y Patricio Romero<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3551149<br>longitud: -78.5492598,-0.3551149,-78.5492598
CIERRE DE VIAS Y MANIFESTACIONES,#: 1228<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S50<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.3206787<br>longitud: -78.5496123,-0.3206787,-78.5496123
CIERRE DE VIAS Y MANIFESTACIONES,#: 1229<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S60 ETERNIT<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3449069<br>longitud: -78.5487224,-0.3449069,-78.5487224
CIERRE DE VIAS Y MANIFESTACIONES,#: 1230<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S55A<br>ESTADO DE MOVILIZACION: PARCIALMENTE HABILITADA<br>latitud: -0.3328158<br>longitud: -78.5504395,-0.3328158,-78.5504395
